,CPT,BLMF,DURB,EL,GRA,JHB,KIM,MAF,NEL,POL,RUST,SKU,UP,VRY,WTB
CPT,0,1001,1636,1045,873,1398,955,1317,1745,1719,1453,1851,795,1158,1536
BLMF,1001,0,635,559,593,396,165,453,744,717,451,849,573,368,534
DURB,1636,635,0,655,783,568,796,854,680,877,700,790,1203,814,645
EL,1045,559,655,0,174,959,718,1017,1307,1281,1015,1413,946,921,1098
GRA,873,593,783,174,0,990,749,1047,1338,1311,1045,1443,845,951,1128
JHB,1398,396,568,959,990,0,481,295,343,317,123,449,795,392,134
KIM,955,165,796,718,749,481,0,363,825,799,477,931,407,204,616
MAF,1317,453,854,1017,1047,295,363,0,626,545,192,732,563,160,414
NEL,1745,744,680,1307,1338,1338,825,626,0,301,437,113,1132,729,218
POL,1719,717,877,1281,1311,317,799,545,301,0,358,340,1075,672,299
RUST,1453,451,700,1015,1045,123,477,192,437,358,0,542,742,339,225
SKU,1851,849,790,1413,1443,449,931,732,113,340,542,0,1238,834,324
UP,795,573,1203,946,845,795,407,563,1132,1075,742,1238,0,403,921
VRY,1158,368,814,921,951,392,204,160,729,672,339,834,403,0,517
WTB,1536,534,645,1098,1128,134,616,414,218,299,225,324,921,517,0
